受访者ID,创新氛围1,创新氛围2,创新氛围3,工作投入1,工作投入2,工作投入3,领导支持1,领导支持2,领导支持3,创新绩效1,创新绩效2,创新绩效3,年龄,性别
R0001,5.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,1.0,3.0,4.0,4.0,50,1
R0002,4.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,,42,1
R0003,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,51,0
R0004,2.0,2.0,2.0,2.0,3.0,6.0,3.0,3.0,4.0,3.0,3.0,1.0,47,0
R0005,5.0,5.0,6.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,25,1
R0006,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,,3.0,3.0,24,0
R0007,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,51,1
R0008,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,43,1
R0009,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,51,0
R0010,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,3.0,2.0,31,1
R0011,3.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,2.0,52,0
R0012,4.0,5.0,6.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,45,0
R0013,2.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,6.0,4.0,4.0,5.0,24,1
R0014,,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,25,0
R0015,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,45,1
R0016,3.0,4.0,4.0,4.0,5.0,3.0,6.0,6.0,4.0,5.0,5.0,5.0,40,1
R0017,4.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,50,1
R0018,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,38,0
R0019,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,43,0
R0020,5.0,4.0,5.0,4.0,5.0,2.0,5.0,6.0,6.0,5.0,5.0,,36,1
R0021,2.0,4.0,4.0,2.0,2.0,7.0,2.0,5.0,4.0,4.0,5.0,4.0,38,1
R0022,5.0,4.0,5.0,5.0,5.0,3.0,7.0,6.0,7.0,4.0,5.0,4.0,23,0
R0023,3.0,2.0,4.0,5.0,4.0,2.0,2.0,3.0,1.0,5.0,4.0,4.0,49,1
R0024,3.0,2.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,1.0,26,0
R0025,3.0,2.0,3.0,3.0,4.0,6.0,3.0,1.0,1.0,2.0,,3.0,29,0
R0026,5.0,3.0,4.0,6.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,,43,1
R0027,4.0,5.0,5.0,5.0,5.0,4.0,,4.0,4.0,3.0,3.0,4.0,44,0
R0028,5.0,6.0,6.0,6.0,6.0,2.0,5.0,5.0,6.0,6.0,6.0,5.0,37,1
R0029,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,55,1
R0030,4.0,3.0,1.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,41,0
R0031,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,26,1
